,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
287,381,resp1898,resp5484,TL,E,0.7671336497391347,0.084,6.0,11.0,False
288,383,resp1909,resp2373,TL,E,0.7872496315255898,0.4,8.0,9.0,False
289,384,resp1913,resp2903,TL,E,0.6378750030206954,0.4,4.0,3.0,False
290,385,resp1914,resp5870,TL,E,0.7777815762634689,0.36,1.0,1.0,True
291,386,resp1919,resp1299,TL,E,0.7899794024930876,0.05,1.0,1.0,True
292,387,resp1919,resp4606,TL,E,0.7899794024930876,0.225,1.0,1.0,True
293,388,resp1919,resp5262,TL,E,0.7899794024930876,0.15,1.0,1.0,True
294,390,resp1928,resp1687,TL,E,0.8093670975966935,0.66,2.0,1.0,False
295,394,resp1934,resp232,TL,E,0.7207549620958512,0.05,17.0,16.0,False
296,395,resp1937,resp4214,TL,E,0.7390825477986308,0.4,6.0,5.0,False
297,396,resp1939,resp4452,TL,E,0.9389993600060623,0.09,1.0,5.0,False
298,397,resp1939,resp5953,TL,E,0.9389993600060623,0.72,1.0,1.0,True
299,398,resp194,resp2373,TL,E,0.7802795043614734,0.126,9.0,15.0,False
300,401,resp1944,resp4571,TM,MM,0.8894737548226073,0.3,7.0,4.0,False
301,403,resp195,resp689,MM,TL,0.8092472268772626,0.56,3.0,1.0,False
302,404,resp1956,resp5873,TL,E,0.7953474928493853,0.21600000000000005,5.0,3.0,False
303,405,resp1960,resp2221,MM,TL,0.804915876632744,0.4615384615384615,1.0,1.0,True
304,407,resp1962,resp3448,TL,E,0.7773506057177522,0.64,13.0,1.0,False
305,408,resp1963,resp1960,TL,E,0.7242086201161055,0.5236363636363636,2.0,1.0,False
306,409,resp1964,resp4330,TL,E,0.8258406885800712,0.35000000000000003,2.0,1.0,False
307,410,resp1964,resp828,TL,E,0.8258406885800712,0.15750000000000006,2.0,3.0,False
308,411,resp1965,resp466,MM,TL,0.7632047596436274,0.16363636363636366,1.0,4.0,False
